agreement,source_file,vn_code,hs6_code,national_tariff_code_as_stored,description_vi,rates_extracted,country_markers,notes,business_scope_guess,rate_column_count,extraction_status
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.10,870310,,- Xe được thiết kế đặc biệt để đi trên tuyết; xe chơi gôn (golf car) và các loại xe tương tự:,,,,HEADING_OR_SUBHEADING,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.10.10,870310,8703101000,- - Xe chơi gôn (kể cả xe golf buggies) và các loại xe tương tự,0,"BN, ID, MM",,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.10.90,870310,8703109000,- - Loại khác,0,"BN, ID, MM","- Loại xe khác, chỉ sử dụng động cơ đốt trong kiểu piston đốt cháy bằng tia lửa điện:",UNKNOWN,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21,870321,,- - Dung tích xi lanh không quá 1.000 cc:,,,- - - Dạng CKD:,HEADING_OR_SUBHEADING,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.11,870321,8703211100,- - - - Xe đua cỡ nhỏ,*,,,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.12,870321,8703211200,- - - - Xe địa hình ATV (All-Terrain Vehicles),*,,,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.13,870321,8703211300,- - - - Ô tô cứu thương,*,,,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.14,870321,8703211400,- - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes),*,,,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.15,870321,8703211500,- - - - Ô tô kiểu Sedan,*,,"- - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van):",CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.21,870321,8703212100,- - - - - Loại bốn bánh chủ động,*,,,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,2023_545 + 546_118-2022-NĐ-CP.doc,8703.21.29,870321,8703212900,- - - - - Loại khác,*,,- - - - Loại khác:,CKD_OR_SPECIAL_LOW_BLOCK,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
