agreement,source_extract_file,vn_hs8_code,national_tariff_code_as_stored,hs6_code,extraction_status,preferential_rate,rate_year_columns,context_snippet
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.10.10,8703101000,870310,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"loại thuộc nhóm 87.02), kể cả ô tô chở người có khoang hành lý chung (station wagons) và ô tô đua 8703.10 - Xe được thiết kế đặc biệt để đi trên tuyết; xe chơi gôn (golf car) và các loại xe tương tự: 8703.10.10 - - Xe chơi gôn (kể cả xe golf buggies) và các loại xe tương tự 8703.10.90 - - Loại khác - Loại xe khác, chỉ sử dụng động cơ đốt trong kiểu piston đốt cháy bằng tia lửa điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.10.90,8703109000,870310,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"n wagons) và ô tô đua 8703.10 - Xe được thiết kế đặc biệt để đi trên tuyết; xe chơi gôn (golf car) và các loại xe tương tự: 8703.10.10 - - Xe chơi gôn (kể cả xe golf buggies) và các loại xe tương tự 8703.10.90 - - Loại khác - Loại xe khác, chỉ sử dụng động cơ đốt trong kiểu piston đốt cháy bằng tia lửa điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.11,8703211100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"các loại xe tương tự 8703.10.90 - - Loại khác - Loại xe khác, chỉ sử dụng động cơ đốt trong kiểu piston đốt cháy bằng tia lửa điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.12,8703211200,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"- - Loại khác - Loại xe khác, chỉ sử dụng động cơ đốt trong kiểu piston đốt cháy bằng tia lửa điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.13,8703211300,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"g kiểu piston đốt cháy bằng tia lửa điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.14,8703211400,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"điện: 8703.21 - - Dung tích xi lanh không quá 1.000 cc: - - - Dạng CKD: 8703.21.11 - - - - Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại k"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.15,8703211500,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"Xe đua cỡ nhỏ 8703.21.12 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.13 - - - - Ô tô cứu thương 8703.21.14 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (A"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.21,8703212100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"thiết kế như căn hộ) (Motor-homes) 8703.21.15 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - -"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.29,8703212900,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"5 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả"
RCEP,2023_129_130_129-2022-N_-CP_8703.txt,8703.21.31,8703213100,870321,HS_CODE_FOUND_RATE_NEEDS_TABLE_EXTRACTION,,,"ả ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô thể thao, nhưng không kể ô tô van): 8703.21.21 - - - - - Loại bốn bánh chủ động 8703.21.29 - - - - - Loại khác - - - - Loại khác: 8703.21.31 - - - - - Xe 3 bánh 8703.21.39 - - - - - Loại khác - - - Loại khác: 8703.21.41 - - - - Xe đua cỡ nhỏ 8703.21.42 - - - - Xe địa hình ATV (All-Terrain Vehicles) 8703.21.43 - - - - Ô tô cứu thương 8703.21.44 - - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes) 8703.21.45 - - - - Ô tô kiểu Sedan - - - - Ô tô khác (kể cả ô tô chở người có khoang chở hành lý chung (statio"
