agreement,origin_group,source_file,vn_code,hs6_code,national_tariff_code,description_vi,rates_extracted,rate_2026_percent,rate_selection_basis,country_markers,notes,rate_column_count,extraction_status
ACFTA,CN,2023_535 + 536_118-2022-NĐ-CP.doc,4011.10.00,401110,40111000,- Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua),5,5,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,6813.81.00,681381,68138100,- - Lót và đệm phanh,0,0,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.11,700711,700711,"- - Có kích cỡ và hình dạng phù hợp với từng loại xe, phương tiện bay, tàu vũ trụ hoặc tàu thuyền:",,,NO_RATE_COLUMN,,,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.11.10,700711,70071110,- - - Phù hợp dùng cho xe thuộc Chương 87,50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.11.20,700711,70071120,- - - Phù hợp dùng cho phương tiện bay hoặc tàu vũ trụ thuộc Chương 88,0,0,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.11.90,700711,70071190,- - - Loại khác,0,0,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.21,700721,700721,"- - Có kích cỡ và hình dạng phù hợp với từng loại xe, phương tiện bay, tàu vũ trụ hoặc tàu thuyền:",,,NO_RATE_COLUMN,,,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.21.10,700721,70072110,- - - Phù hợp dùng cho xe thuộc Chương 87,0,0,SINGLE_RATE_COLUMN,MY,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.21.20,700721,70072120,- - - Phù hợp dùng cho phương tiện bay hoặc tàu vũ trụ thuộc Chương 88,0,0,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7007.21.90,700721,70072190,- - - Loại khác,0,0,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7009.10.00,700910,70091000,- Gương chiếu hậu dùng cho xe,50,50,SINGLE_RATE_COLUMN,,- Loại khác:,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.10,732010,732010,- Lò xo lá và các lá lò xo:,,,NO_RATE_COLUMN,,- - Dùng cho xe có động cơ hoặc các loại máy thuộc nhóm 84.29 hoặc 84.30:,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.10.11,732010,73201011,"- - - Dùng cho xe có động cơ thuộc nhóm 87.02, 87.03 hoặc 87.04",0,0,SINGLE_RATE_COLUMN,ID,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.10.12,732010,73201012,- - - Dùng cho xe có động cơ khác,0,0,SINGLE_RATE_COLUMN,ID,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.10.19,732010,73201019,- - - Loại khác,0,0,SINGLE_RATE_COLUMN,ID,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.10.90,732010,73201090,- - Loại khác,0,0,SINGLE_RATE_COLUMN,ID,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.20,732020,732020,- Lò xo cuộn:,,,NO_RATE_COLUMN,,- - Dùng cho xe có động cơ hoặc các loại máy thuộc nhóm 84.29 hoặc 84.30:,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.20.11,732020,73202011,- - - Dùng cho xe có động cơ,0,0,SINGLE_RATE_COLUMN,"ID, TH",,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.20.12,732020,73202012,- - - Dùng cho máy làm đất,0,0,SINGLE_RATE_COLUMN,"ID, TH",,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.20.19,732020,73202019,- - - Loại khác,0,0,SINGLE_RATE_COLUMN,"ID, TH",,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_539 + 540_118-2022-NĐ-CP.doc,7320.20.90,732020,73202090,- - Loại khác,0,0,SINGLE_RATE_COLUMN,"ID, TH",,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34,840734,840734,- - Dung tích xi lanh trên 1.000 cc:,,,NO_RATE_COLUMN,,- - - Đã lắp ráp hoàn chỉnh:,0,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.40,840734,84073440,"- - - - Dùng cho máy kéo cầm tay, dung tích xi lanh không quá 1.100 cc",50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.50,840734,84073450,- - - - Dùng cho xe khác thuộc nhóm 87.01,50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.60,840734,84073460,- - - - Dùng cho xe thuộc nhóm 87.11,50,50,SINGLE_RATE_COLUMN,,- - - - Loại khác:,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.71,840734,84073471,- - - - - Dung tích xi lanh không quá 2.000 cc,50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.72,840734,84073472,- - - - - Dung tích xi lanh trên 2.000 cc nhưng không quá 3.000 cc,50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.73,840734,84073473,- - - - - Dung tích xi lanh trên 3.000 cc,50,50,SINGLE_RATE_COLUMN,,- - - Loại khác:,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
ACFTA,CN,2023_541 + 542_118-2022-NĐ-CP.doc,8407.34.91,840734,84073491,"- - - - Dùng cho máy kéo cầm tay, dung tích xi lanh không quá 1.100 cc",50,50,SINGLE_RATE_COLUMN,,,1,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
