agreement,origin_group,origin_countries,source_file,vn_code,hs6_code,national_tariff_code_as_stored,description_vi,rates_extracted,rate_2026,rate_2027,country_markers,business_scope_guess,extraction_status
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.41,870321,8703214100,- - - - Xe đua cỡ nhỏ,63|56|49|42|35|28,35,28,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.42,870321,8703214200,- - - - Xe địa hình ATV (All-Terrain Vehicles),70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.43,870321,8703214300,- - - - Ô tô cứu thương,15|15|15|15|15|15,15,15,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.44,870321,8703214400,- - - - Ô tô nhà ở lưu động (có nội thất được thiết kế như căn hộ) (Motor-homes),70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.45,870321,8703214500,- - - - Ô tô kiểu Sedan,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.51,870321,8703215100,- - - - - Loại bốn bánh chủ động,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.59,870321,8703215900,- - - - - Loại khác,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.91,870321,8703219100,- - - - - Xe 3 bánh,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.21.99,870321,8703219900,- - - - - Loại khác,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
RCEP,ASEAN,"BN,KH,ID,LA,MY,SG,TH,MM,PH",2023_129 + 130_129-2022-NĐ-CP.doc,8703.22.41,870322,8703224100,- - - - Xe đua cỡ nhỏ,70|70|70|70|70|70,70,70,,CBU_OR_ORDINARY_VEHICLE_BLOCK,EXTRACTED_FROM_WORDDOCUMENT_CELL_STREAM
