ccu_code,regime,mapping_code,candidate_rank,hs6_code,national_tariff_code,tariff_description,duty_rate,sst_rate,verification_status,effective_from,effective_to,source_code,locator_type,locator_value
CCU-BRAKE-FRICTION-PAD-LINING,ACFTA,MAP-MY-ACFTA-2026-BRAKE-FRICTION-PAD-LINING-6813810000,1,681381,6813810000,- - Brake linings and pads,0E-8,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-ACFTA-681381-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=681381; find_item=yes
CCU-BRAKE-FRICTION-PAD-LINING,MFN,MAP-MY-PDK2025-MFN-BRAKE-FRICTION-PAD-LINING-6813810000,1,681381,6813810000,- - Brake linings and pads,0.30000000,0.1,VERIFIED,2025-11-01,,SRC-MY-JKDM-PDK2025-681381-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=681381; find_item=yes
CCU-BRAKE-FRICTION-PAD-LINING,RCEP,MAP-MY-RCEP-2026-BRAKE-FRICTION-PAD-LINING-6813810000,1,681381,6813810000,- - Brake linings and pads,0.30000000,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-RCEP-681381-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=681381; find_item=yes
CCU-BRAKE-HOSE-ASSEMBLY,ACFTA,MAP-MY-ACFTA-2026-BRAKE-HOSE-ASSEMBLY-4009329000,1,400932,4009329000,- - - Other,0.05000000,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-ACFTA-400932-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=400932; find_item=yes
CCU-BRAKE-HOSE-ASSEMBLY,MFN,MAP-MY-PDK2025-MFN-BRAKE-HOSE-ASSEMBLY-4009329000,1,400932,4009329000,- - - Other,0.30000000,0.1,VERIFIED,2025-11-01,,SRC-MY-JKDM-PDK2025-400932-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=400932; find_item=yes
CCU-BRAKE-HOSE-ASSEMBLY,RCEP,MAP-MY-RCEP-2026-BRAKE-HOSE-ASSEMBLY-4009329000,1,400932,4009329000,- - - Other,0.30000000,0.1,VERIFIED,2026-01-01,,SRC-MY-JKDM-RCEP-400932-RATE2026-P1-60,PORTAL_QUERY,POST hsType=RCEP; hsCriteria=1; hsKeyword=400932; find_item=yes
CCU-BRAKE-MASTER-CYLINDER,ACFTA,MAP-MY-ACFTA-2026-BRAKE-MASTER-CYLINDER-8708302900,1,870830,8708302900,- - - Other,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870830-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-BRAKE-MASTER-CYLINDER,ACFTA,MAP-MY-ACFTA-2026-BRAKE-MASTER-CYLINDER-8708309000,1,870830,8708309000,- - Other,0E-8,0.1,CANDIDATE,2026-01-01,,SRC-MY-JKDM-ACFTA-870830-RATE2026-P1-60,PORTAL_QUERY,POST hsType=ACFTA; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-BRAKE-MASTER-CYLINDER,MFN,MAP-MY-PDK2025-MFN-BRAKE-MASTER-CYLINDER-8708302900,1,870830,8708302900,- - - Other,0.30000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870830-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870830; find_item=yes
CCU-BRAKE-MASTER-CYLINDER,MFN,MAP-MY-PDK2025-MFN-BRAKE-MASTER-CYLINDER-8708309000,1,870830,8708309000,- - Other,0.30000000,0.1,CANDIDATE,2025-11-01,,SRC-MY-JKDM-PDK2025-870830-P1-60-20260729,PORTAL_QUERY,POST hsType=PDK; hsCriteria=1; hsKeyword=870830; find_item=yes
