"regime","hs6_query","national_tariff_code","description","current_rate","source_file","source_sha256"
"ACFTA","400932","400932","- - With fittings :","","JKDM_HS_Explorer_ACFTA_400932_RATE_2026.html","f0e7712475f9b696a92e520940650e494213cdca3302dcca448d16dbc558aa9e"
"ACFTA","400932","4009321000","- - - Mining slurry suction and discharge hoses","5","JKDM_HS_Explorer_ACFTA_400932_RATE_2026.html","f0e7712475f9b696a92e520940650e494213cdca3302dcca448d16dbc558aa9e"
"ACFTA","400932","4009329000","- - - Other","5","JKDM_HS_Explorer_ACFTA_400932_RATE_2026.html","f0e7712475f9b696a92e520940650e494213cdca3302dcca448d16dbc558aa9e"
"ACFTA","401110","4011100000","- Of a kind used on motor cars (including station wagons and racing cars)","5","JKDM_HS_Explorer_ACFTA_401110_RATE_2026.html","10717df94c6f4ddff5086c6fab02b6b0f50c39742bcdc021f591cb866c507f61"
"ACFTA","681381","6813810000","- - Brake linings and pads","0","JKDM_HS_Explorer_ACFTA_681381_RATE_2026.html","1c99740999fb8763f82b9244e52933967dc7c7e06834e5437d5f83aa68baebfb"
"ACFTA","700721","700721","- - Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels :","","JKDM_HS_Explorer_ACFTA_700721_RATE_2026.html","abfcdcddd41e12b01150ac655c4752a365c68bb6f2ea225a679f87fef81ad44c"
"ACFTA","700721","7007211000","- - - Suitable for vehicles of Chapter 87","30","JKDM_HS_Explorer_ACFTA_700721_RATE_2026.html","abfcdcddd41e12b01150ac655c4752a365c68bb6f2ea225a679f87fef81ad44c"
"ACFTA","700721","7007212000","- - - Suitable for aircraft or spacecraft of Chapter 88","30","JKDM_HS_Explorer_ACFTA_700721_RATE_2026.html","abfcdcddd41e12b01150ac655c4752a365c68bb6f2ea225a679f87fef81ad44c"
"ACFTA","700721","7007219000","- - - Other","30","JKDM_HS_Explorer_ACFTA_700721_RATE_2026.html","abfcdcddd41e12b01150ac655c4752a365c68bb6f2ea225a679f87fef81ad44c"
"ACFTA","700910","7009100000","- Rear-view mirrors for vehicles","0","JKDM_HS_Explorer_ACFTA_700910_RATE_2026.html","4db200604ae9932766e4233e4491c32e15ccebef93484e6255a480a26fd3a6d4"
"ACFTA","732010","732010","- Leaf-springs and leaves therefor :","","JKDM_HS_Explorer_ACFTA_732010_RATE_2026.html","98cbaab9280ebacaf0d41a791794462ebd3aef1d88058f10b2812f34f142bdd7"
"ACFTA","732010","7320101100","- - - Suitable for use on motor vehicles of heading 87.02, 87.03 or 87.04","0","JKDM_HS_Explorer_ACFTA_732010_RATE_2026.html","98cbaab9280ebacaf0d41a791794462ebd3aef1d88058f10b2812f34f142bdd7"
"ACFTA","732010","7320101200","- - - Suitable for use on other motor vehicles","0","JKDM_HS_Explorer_ACFTA_732010_RATE_2026.html","98cbaab9280ebacaf0d41a791794462ebd3aef1d88058f10b2812f34f142bdd7"
"ACFTA","732010","7320101900","- - - Other","0","JKDM_HS_Explorer_ACFTA_732010_RATE_2026.html","98cbaab9280ebacaf0d41a791794462ebd3aef1d88058f10b2812f34f142bdd7"
"ACFTA","732010","7320109000","- - Other","0","JKDM_HS_Explorer_ACFTA_732010_RATE_2026.html","98cbaab9280ebacaf0d41a791794462ebd3aef1d88058f10b2812f34f142bdd7"
"ACFTA","732020","732020","- Helical springs :","","JKDM_HS_Explorer_ACFTA_732020_RATE_2026.html","d4b34306b4445b16452e810c7fe92f6deb0c599f3b4feb85c112310895078dfe"
"ACFTA","732020","7320201100","- - - For motor vehicles","0","JKDM_HS_Explorer_ACFTA_732020_RATE_2026.html","d4b34306b4445b16452e810c7fe92f6deb0c599f3b4feb85c112310895078dfe"
"ACFTA","732020","7320201200","- - - For earth-moving machinery","0","JKDM_HS_Explorer_ACFTA_732020_RATE_2026.html","d4b34306b4445b16452e810c7fe92f6deb0c599f3b4feb85c112310895078dfe"
"ACFTA","732020","7320201900","- - - Other","0","JKDM_HS_Explorer_ACFTA_732020_RATE_2026.html","d4b34306b4445b16452e810c7fe92f6deb0c599f3b4feb85c112310895078dfe"
"ACFTA","732020","7320209000","- - Other","0","JKDM_HS_Explorer_ACFTA_732020_RATE_2026.html","d4b34306b4445b16452e810c7fe92f6deb0c599f3b4feb85c112310895078dfe"
"ACFTA","840734","840734","- - Of a cylinder capacity exceeding 1,000 cc:","","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407344000","- - - - For pedestrian controlled tractors, of a cylinder capacity not exceeding 1,100 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407345000","- - - - For other vehicles of heading 87.01","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407346000","- - - - For vehicles of heading 87.11","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407347100","- - - - - Of a cylinder capacity not exceeding 2,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407347200","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407347300","- - - - - Of a cylinder capacity exceeding 3,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349100","- - - - For pedestrian controlled tractors, of a cylinder capacity not exceeding 1,100 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349200","- - - - For other vehicles of heading 87.01","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349300","- - - - For vehicles of heading 87.11","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349400","- - - - - Of a cylinder capacity not exceeding 2,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349500","- - - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840734","8407349900","- - - - - Of a cylinder capacity exceeding 3,000 cc","0","JKDM_HS_Explorer_ACFTA_840734_RATE_2026.html","edc9e532ad9b79b968ef927a7f4bc393e1ff979ee9b79d9d208af4caa138feaa"
"ACFTA","840820","840820","- Engines of a kind used for the propulsion of vehicles of Chapter 87 :","","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408201000","- - - For vehicles of subheading 8701.10","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408202100","- - - - Of a cylinder capacity not exceeding 2,000 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408202200","- - - - Of a cylinder capacity exceeding 2,000 cc but not exceeding 3,500 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408202300","- - - - Of a cylinder capacity exceeding 3,500 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408209300","- - - For the vehicles of subheading 8701.10","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
"ACFTA","840820","8408209400","- - - - Of a cylinder capacity not exceeding 2,000 cc","0","JKDM_HS_Explorer_ACFTA_840820_RATE_2026.html","e131b7dbf9512325f043c4355c585fa27d231004b2460000c01d53017d5653c3"
