"hs6_query","national_tariff_code","unit","description","import_rate","export_rate","trq","sst","excise","cess_1","cess_2","cess_3","source_file","source_sha256"
"400932","4009321000","kg","- - - Mining slurry suction and discharge hoses","30%","0%","","10%","","NIL","NIL","0.2%","JKDM_HS_Explorer_PDK2025_400932.html","a3a4d118c5b7e3d62b1982f8d3073c32602f6270a04e8416aa0fc5ad46a0fc06"
"400932","4009329000","kg","- - - Other","30%","0%","","10%","","NIL","NIL","0.2%","JKDM_HS_Explorer_PDK2025_400932.html","a3a4d118c5b7e3d62b1982f8d3073c32602f6270a04e8416aa0fc5ad46a0fc06"
"401110","4011100000","u","- Of a kind used on motor cars (including station wagons and racing cars)","40%","0%","","5%","","","","","JKDM_HS_Explorer_PDK2025_401110.html","579ccbbfb478f33498cff5f6cdf76a1facb14791e14ec40b74939d3c79b1d7ee"
"681381","6813810000","kg","- - Brake linings and pads","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_681381.html","00001ed7a71f740d5081e62e782cd792f75b65742e4fe2ed0c4cf3c480dab495"
"700721","7007211000","kg","- - - Suitable for vehicles of Chapter 87","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_700721.html","cf6131bd845df7768c282f402ab8dd18d5dad92b96a570996d4cb35f760cc71e"
"700721","7007212000","kg","- - - Suitable for aircraft or spacecraft of Chapter 88","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_700721.html","cf6131bd845df7768c282f402ab8dd18d5dad92b96a570996d4cb35f760cc71e"
"700721","7007219000","kg","- - - Other","30%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_700721.html","cf6131bd845df7768c282f402ab8dd18d5dad92b96a570996d4cb35f760cc71e"
"700910","7009100000","kg","- Rear-view mirrors for vehicles","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_700910.html","9fe2a7d64a6ef690d5465e8a8b7664b22d73420d31c0feb677d16d1cf8fb24fc"
"732010","7320101100","kg","- - - Suitable for use on motor vehicles of heading 87.02, 87.03 or 87.04","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732010.html","73d5980c37c16a46fbe41b18ebd300b4a03fac09f8ea8857123ce450c6efc3a5"
"732010","7320101200","kg","- - - Suitable for use on other motor vehicles","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732010.html","73d5980c37c16a46fbe41b18ebd300b4a03fac09f8ea8857123ce450c6efc3a5"
"732010","7320101900","kg","- - - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732010.html","73d5980c37c16a46fbe41b18ebd300b4a03fac09f8ea8857123ce450c6efc3a5"
"732010","7320109000","kg","- - Other","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732010.html","73d5980c37c16a46fbe41b18ebd300b4a03fac09f8ea8857123ce450c6efc3a5"
"732020","7320201100","kg","- - - For motor vehicles","5%","0%","","10%","","","","","JKDM_HS_Explorer_PDK2025_732020.html","0305af59aef513044c76b2af88c20d7f6cbb98e1c1e6bccd54abca29aaf0cf08"
